year,rgb,rgb
1983,583927,9
1983,84B68D,5
1983,B67B50,2
1983,FA9C1C,2
1983,0033B2,1
1984,05131D,599
1984,9BA19D,398
1984,C91A09,390
1984,0055BF,361
1984,F2CD37,276
1984,FFFFFF,266
1984,FCFCFC,39
1984,583927,35
1984,F5CD2F,34
1984,237841,31
1984,6D6E5C,30
1984,84B68D,6
1984,B67B50,4
1984,0020A0,2
1984,FA9C1C,1
1985,C91A09,1064
1985,05131D,1051
1985,0055BF,657
1985,FFFFFF,602
1985,F2CD37,600
1985,9BA19D,591
1985,FCFCFC,118
1985,237841,86
1985,583927,40
1985,F5CD2F,38
1985,3592C3,22
1985,84B68D,22
1985,6D6E5C,17
1985,AEEFEC,14
1985,0020A0,10
1985,B67B50,6
1985,FA9C1C,2
1985,0033B2,1
1985,4C61DB,1
1985,BBE90B,1
1986,05131D,1077
1986,FFFFFF,856
1986,9BA19D,752
1986,C91A09,752
1986,0055BF,565
1986,F2CD37,487
1986,FCFCFC,69
1986,F5CD2F,62
1986,237841,54
1986,583927,37
1986,84B68D,19
1986,6D6E5C,15
1986,0020A0,12
1986,AEEFEC,10
1986,0033B2,2
1986,B67B50,2
1986,FA9C1C,1
1987,05131D,1104
1987,FFFFFF,920
1987,C91A09,881
1987,F2CD37,551
1987,0055BF,473
1987,9BA19D,386
1987,237841,86
1987,FCFCFC,86
1987,583927,41
1987,F5CD2F,38
1987,0020A0,31
1987,6D6E5C,22
1987,84B68D,21
1987,AEEFEC,17
1987,B67B50,9
1987,0033B2,2
1987,FA9C1C,2
1988,05131D,1003
1988,FFFFFF,703
1988,C91A09,473
1988,F2CD37,406
1988,9BA19D,325
1988,0055BF,223
1988,583927,47
1988,237841,46
1988,0020A0,40
1988,FCFCFC,40
1988,F5CD2F,36
1988,AEEFEC,21
1988,6D6E5C,18
1988,84B68D,11
1988,B67B50,2
1988,0033B2,1
1988,5A93DB,1
1988,F8F184,1
1989,05131D,1131
1989,FFFFFF,678
1989,C91A09,551
1989,F2CD37,520
1989,9BA19D,464
1989,0055BF,425
1989,583927,143
1989,237841,67
1989,FCFCFC,57
1989,6D6E5C,52
1989,F5CD2F,32
1989,AEEFEC,31
1989,BBA53D,28
1989,0020A0,18
1989,84B68D,8
1989,4C61DB,2
1989,0033B2,1
1990,05131D,1132
1990,C91A09,1069
1990,FFFFFF,811
1990,9BA19D,607
1990,F2CD37,471
1990,0055BF,413
1990,237841,96
1990,FCFCFC,76
1990,AEEFEC,59
1990,583927,58
1990,6D6E5C,51
1990,F8F184,44
1990,F5CD2F,37
1990,0020A0,15
1990,84B68D,12
1990,4C61DB,4
1990,BBA53D,4
1990,D4D5C9,2
1991,05131D,1529
1991,FFFFFF,1119
1991,C91A09,928
1991,9BA19D,739
1991,F2CD37,595
1991,0055BF,297
1991,FCFCFC,84
1991,6D6E5C,72
1991,AEEFEC,70
1991,F8F184,61
1991,F5CD2F,57
1991,583927,56
1991,237841,34
1991,0020A0,25
1991,84B68D,23
1991,BBA53D,12
1991,FC97AC,3
1991,4C61DB,2
1991,5A93DB,1
1992,05131D,1171
1992,FFFFFF,819
1992,9BA19D,701
1992,C91A09,556
1992,F2CD37,436
1992,0055BF,205
1992,583927,140
1992,237841,86
1992,6D6E5C,84
1992,F5CD2F,47
1992,FCFCFC,43
1992,AEEFEC,40
1992,FC97AC,39
1992,84B68D,29
1992,BBA53D,24
1992,0020A0,22
1992,F8F184,9
1992,E4CD9E,6
1992,C2DAB8,5
1992,D4D5C9,3
1992,5A93DB,1
1993,05131D,1669
1993,FFFFFF,1010
1993,9BA19D,892
1993,C91A09,881
1993,F2CD37,564
1993,0055BF,460
1993,583927,150
1993,237841,123
1993,6D6E5C,92
1993,FF800D,73
1993,FCFCFC,66
1993,AEEFEC,62
1993,F5CD2F,48
1993,84B68D,41
1993,FC97AC,30
1993,BBA53D,28
1993,0020A0,17
1993,C2DAB8,9
1993,4B9F4A,8
1993,D4D5C9,6
1993,F785B1,6
1993,FE8A18,4
1993,5A93DB,3
1993,BBE90B,3
1993,582A12,1
1993,9FC3E9,1
1993,E0E0E0,1
1994,05131D,1661
1994,9BA19D,1001
1994,C91A09,993
1994,FFFFFF,960
1994,F2CD37,562
1994,0055BF,337
1994,237841,134
1994,583927,113
1994,6D6E5C,87
1994,AEEFEC,66
1994,FCFCFC,59
1994,0020A0,48
1994,F5CD2F,46
1994,FC97AC,40
1994,C870A0,38
1994,BBA53D,28
1994,F8F184,20
1994,84B68D,19
1994,C9CAE2,17
1994,FF800D,17
1994,73DCA1,14
1994,E0E0E0,11
1994,FBE696,11
1994,C2DAB8,8
1994,0033B2,6
1994,D4D5C9,2
1994,FECCCF,1
1995,05131D,1651
1995,9BA19D,1151
1995,C91A09,965
1995,F2CD37,956
1995,FFFFFF,953
1995,0055BF,673
1995,237841,148
1995,6D6E5C,137
1995,583927,102
1995,0020A0,71
1995,F5CD2F,62
1995,FC97AC,39
1995,FCFCFC,39
1995,AEEFEC,38
1995,FF800D,38
1995,BBA53D,28
1995,E0E0E0,28
1995,C870A0,22
1995,F8F184,21
1995,84B68D,17
1995,3592C3,12
1995,C9CAE2,7
1995,73DCA1,6
1995,D4D5C9,4
1995,4C61DB,3
1995,C2DAB8,2
1995,FECCCF,2
1995,0033B2,1
1995,5A93DB,1
1995,B4D2E3,1
1995,FBE696,1
1996,05131D,2472
1996,FFFFFF,1715
1996,9BA19D,1283
1996,C91A09,999
1996,F2CD37,842
1996,0055BF,595
1996,237841,247
1996,583927,226
1996,6D6E5C,222
1996,F8F184,74
1996,FCFCFC,73
1996,AEEFEC,71
1996,0020A0,65
1996,BBA53D,62
1996,F5CD2F,61
1996,C870A0,56
1996,FF800D,53
1996,84B68D,45
1996,E0E0E0,35
1996,FC97AC,33
1996,73DCA1,18
1996,C9CAE2,16
1996,FBE696,7
1996,0033B2,4
1996,E4CD9E,4
1996,C2DAB8,2
1996,D4D5C9,2
1996,4B9F4A,1
1996,4C61DB,1
1996,81007B,1
1996,B4D2E3,1
1996,FECCCF,1
1997,05131D,2461
1997,9BA19D,1611
1997,F2CD37,1074
1997,C91A09,1064
1997,FFFFFF,991
1997,0055BF,640
1997,237841,347
1997,6D6E5C,247
1997,583927,210
1997,F8F184,113
1997,FCFCFC,83
1997,FF800D,71
1997,AEEFEC,65
1997,BBA53D,60
1997,E0E0E0,52
1997,E4CD9E,46
1997,F5CD2F,46
1997,84B68D,37
1997,0020A0,35
1997,C870A0,34
1997,FC97AC,23
1997,73DCA1,14
1997,C2DAB8,9
1997,FBE696,7
1997,4B9F4A,6
1997,C9CAE2,6
1997,0033B2,4
1997,FEBABD,4
1997,D4D5C9,3
1997,FA9C1C,3
1997,4C61DB,2
1997,B31004,2
1997,F2705E,2
1997,81007B,1
1997,B67B50,1
1997,DBAC34,1
1998,05131D,3630
1998,F2CD37,1627
1998,9BA19D,1598
1998,C91A09,1591
1998,FFFFFF,1372
1998,0055BF,1251
1998,6D6E5C,747
1998,237841,569
1998,E4CD9E,240
1998,583927,228
1998,F8F184,169
1998,FCFCFC,135
1998,008F9B,110
1998,84B68D,100
1998,0020A0,94
1998,F5CD2F,75
1998,E0E0E0,74
1998,AEEFEC,65
1998,BBA53D,49
1998,C870A0,47
1998,81007B,43
1998,FF800D,35
1998,FE8A18,25
1998,4B9F4A,23
1998,FFA70B,23
1998,4C61DB,6
1998,6C96BF,6
1998,FBE696,6
1998,A5A9B4,5
1998,0033B2,4
1998,FC97AC,4
1998,73DCA1,3
1998,C2DAB8,2
1998,C9CAE2,2
1998,DBAC34,2
1998,A0A5A9,1
1998,A95500,1
1998,B4D2E3,1
1998,D4D5C9,1
1999,05131D,2643
1999,9BA19D,1650
1999,FFFFFF,1471
1999,C91A09,1279
1999,F2CD37,1237
1999,0055BF,898
1999,6D6E5C,721
1999,237841,352
1999,583927,236
1999,E4CD9E,184
1999,F8F184,134
1999,0020A0,102
1999,FCFCFC,90
1999,008F9B,85
1999,AEEFEC,82
1999,84B68D,74
1999,F5CD2F,70
1999,BBA53D,69
1999,FF800D,62
1999,FE8A18,49
1999,81007B,45
1999,C870A0,45
1999,E0E0E0,45
1999,FC97AC,23
1999,4B9F4A,19
1999,5A93DB,15
1999,FBE696,12
1999,C2DAB8,9
1999,4C61DB,8
1999,0033B2,7
1999,635F52,7
1999,A5A9B4,6
1999,C9CAE2,6
1999,DF6695,6
1999,B31004,5
1999,4354A3,4
1999,FA9C1C,3
1999,FFA70B,3
1999,3CB371,2
1999,C7D23C,2
1999,55A5AF,1
1999,73DCA1,1
1999,9391E4,1
1999,BBE90B,1
1999,D4D5C9,1
1999,F2705E,1
1999,FECCCF,1
2000,05131D,2633
2000,9BA19D,1470
2000,FFFFFF,987
2000,F2CD37,887
2000,C91A09,850
2000,6D6E5C,836
2000,0055BF,644
2000,237841,374
2000,583927,269
2000,E4CD9E,262
2000,FCFCFC,98
2000,FE8A18,95
2000,F8F184,78
2000,FF800D,64
2000,AEEFEC,62
2000,BBE90B,54
2000,0020A0,53
2000,008F9B,49
2000,84B68D,47
2000,F5CD2F,46
2000,A0BCAC,37
2000,898788,31
2000,E0E0E0,26
2000,BBA53D,23
2000,5A93DB,19
2000,81007B,18
2000,4C61DB,16
2000,C870A0,16
2000,DF6695,16
2000,A5A9B4,15
2000,FBE696,14
2000,0033B2,10
2000,73DCA1,10
2000,D4D5C9,9
2000,FC97AC,8
2000,4B9F4A,7
2000,635F52,7
2000,A95500,4
2000,4354A3,3
2000,A5A5CB,3
2000,C9CAE2,3
2000,DCBC81,3
2000,FA9C1C,3
2000,DBAC34,2
2000,B31004,1
2000,B3D7D1,1
2000,B4D2E3,1
2000,C2DAB8,1
2000,F3CF9B,1
2001,05131D,2754
2001,9BA19D,1607
2001,FFFFFF,1073
2001,C91A09,975
2001,6D6E5C,907
2001,F2CD37,783
2001,0055BF,573
2001,237841,377
2001,583927,267
2001,E4CD9E,231
2001,FE8A18,114
